path	image	ID	COMMENT	VAR	SCALE	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6	x7	y7	x8	y8	x9	y9	x10	y10	x11	y11	x12	y12	x13	y13	
C:/Users/vmc04/Desktop/Lab reared wings for landmarking/RPV/RPVFC	RPV 177.gif	1 : RPV 177 13	FC-13	NA	NA	325.000	549.000	991.000	480.000	1003.000	500.000	771.000	486.000	1012.000	521.000	1011.000	540.000	985.000	564.000	815.000	556.000	944.000	591.000	877.000	618.000	584.000	559.000	758.000	640.000	652.000	651.000			
C:/Users/vmc04/Desktop/Lab reared wings for landmarking/RPV/RPVFC	RPV 220.gif	2 : RPV 220 13	FC-13	NA	NA	531.000	349.000	1227.000	487.000	1238.000	516.000	1031.000	437.000	1238.000	540.000	1225.000	563.000	1192.000	578.000	1027.000	517.000	1135.000	592.000	1062.000	599.000	789.000	455.000	948.000	590.000	828.000	564.000			
C:/Users/vmc04/Desktop/Lab reared wings for landmarking/RPV/RPVFC	RPV 273-1.gif	3 : RPV 273 13	FC-13	NA	NA	309.000	538.000	960.000	474.000	976.000	498.000	744.000	478.000	980.000	516.000	977.000	533.000	955.000	554.000	787.000	545.000	919.000	578.000	845.000	605.000	557.000	549.000	732.000	627.000	629.000	637.000			
C:/Users/vmc04/Desktop/Lab reared wings for landmarking/RPV/RPVFC	RPV 310.gif	4 : RPV 310 13	FC-13	NA	NA	391.000	448.000	1118.000	429.000	1134.000	451.000	898.000	417.000	1141.000	474.000	1128.000	500.000	1106.000	519.000	932.000	497.000	1060.000	543.000	978.000	566.000	669.000	480.000	860.000	587.000	733.000	584.000			
C:/Users/vmc04/Desktop/Lab reared wings for landmarking/RPV/RPVFC	RPV 312.gif	5 : RPV 312 13	FC-13	NA	NA	352.000	415.000	1123.000	469.000	1134.000	488.000	901.000	433.000	1142.000	512.000	1139.000	540.000	1101.000	563.000	924.000	523.000	1038.000	582.000	967.000	601.000	643.000	481.000	830.000	607.000	698.000	595.000			
C:/Users/vmc04/Desktop/Lab reared wings for landmarking/RPV/RPVFC	RPV 315.gif	6 : RPV 315 13	FC-13	NA	NA	490.000	583.000	1251.000	438.000	1266.000	454.000	1010.000	464.000	1279.000	480.000	1275.000	506.000	1251.000	529.000	1063.000	536.000	1201.000	567.000	1119.000	606.000	776.000	571.000	992.000	641.000	867.000	662.000			
C:/Users/vmc04/Desktop/Lab reared wings for landmarking/RPV/RPVFC	RPV 399-1.gif	7 : RPV 399 13	FC-13	NA	NA	334.000	490.000	1107.000	390.000	1126.000	411.000	854.000	397.000	1130.000	433.000	1124.000	459.000	1096.000	483.000	892.000	469.000	1039.000	509.000	964.000	543.000	625.000	493.000	850.000	577.000	715.000	592.000			
C:/Users/vmc04/Desktop/Lab reared wings for landmarking/RPV/RPVFC	RPV 440-1.gif	8 : RPV 440 13	FC-13	NA	NA	406.000	488.000	1149.000	368.000	1170.000	391.000	927.000	389.000	1182.000	416.000	1179.000	443.000	1153.000	471.000	967.000	466.000	1102.000	504.000	1024.000	537.000	690.000	485.000	902.000	571.000	783.000	587.000			
C:/Users/vmc04/Desktop/Lab reared wings for landmarking/RPV/RPVFC	RPV 441-1.gif	9 : RPV 441 13	FC-13	NA	NA	425.000	392.000	1139.000	325.000	1157.000	349.000	926.000	327.000	1166.000	371.000	1161.000	397.000	1132.000	422.000	953.000	402.000	1082.000	445.000	1008.000	470.000	686.000	407.000	890.000	490.000	769.000	501.000			
C:/Users/vmc04/Desktop/Lab reared wings for landmarking/RPV/RPVFC	RPV 445.gif	10 : RPV 445 13	FC-13	NA	NA	312.000	562.000	985.000	393.000	1007.000	410.000	778.000	431.000	1020.000	436.000	1012.000	461.000	990.000	486.000	822.000	492.000	952.000	516.000	883.000	550.000	556.000	531.000	774.000	588.000	670.000	614.000			
