path	image	ID	COMMENT	VAR	SCALE	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6	x7	y7	x8	y8	x9	y9	x10	y10	x11	y11	x12	y12	x13	y13	x14	y14	x15	y15	x16	y16	x17	y17	x18	y18	
C:/Users/vmc04/Desktop/Lab reared wings for landmarking/18/ARS/ARSMB	ARS 036-1.gif	1 : ARS 036 18	MB-18	NA	NA	464.000	489.000	653.000	389.000	898.000	330.000	925.000	342.000	940.000	362.000	944.000	381.000	927.000	412.000	887.000	459.000	827.000	508.000	721.000	577.000	493.000	571.000	593.000	525.000	583.000	504.000	637.000	489.000	628.000	470.000	617.000	452.000	684.000	417.000	745.000	469.000			
C:/Users/vmc04/Desktop/Lab reared wings for landmarking/18/ARS/ARSMB	ARS 038-1.gif	2 : ARS 038 18	MB-18	NA	NA	445.000	503.000	617.000	392.000	884.000	311.000	902.000	320.000	917.000	337.000	920.000	356.000	907.000	394.000	873.000	443.000	814.000	495.000	717.000	571.000	489.000	583.000	590.000	521.000	580.000	504.000	619.000	490.000	611.000	471.000	599.000	449.000	672.000	408.000	747.000	453.000			
C:/Users/vmc04/Desktop/Lab reared wings for landmarking/18/ARS/ARSMB	ARS 040.gif	3 : ARS 040 18	MB-18	NA	NA	646.000	328.000	843.000	344.000	1102.000	441.000	1116.000	469.000	1121.000	488.000	1109.000	512.000	1079.000	526.000	1016.000	541.000	948.000	548.000	816.000	547.000	627.000	415.000	740.000	427.000	743.000	409.000	787.000	421.000	792.000	400.000	798.000	378.000	879.000	389.000	913.000	476.000			
C:/Users/vmc04/Desktop/Lab reared wings for landmarking/18/ARS/ARSMB	ARS 042.gif	4 : ARS 042 18	MB-18	NA	NA	700.000	533.000	895.000	490.000	1143.000	505.000	1162.000	524.000	1172.000	542.000	1170.000	565.000	1141.000	590.000	1088.000	621.000	1019.000	648.000	916.000	679.000	714.000	608.000	812.000	596.000	810.000	574.000	863.000	573.000	860.000	557.000	857.000	535.000	947.000	522.000	982.000	591.000			
C:/Users/vmc04/Desktop/Lab reared wings for landmarking/18/ARS/ARSMB	ARS 045-1.gif	5 : ARS 045 18	MB-18	NA	NA	805.000	530.000	1006.000	553.000	1255.000	647.000	1269.000	673.000	1273.000	692.000	1266.000	713.000	1230.000	731.000	1165.000	750.000	1094.000	754.000	971.000	751.000	792.000	616.000	899.000	631.000	906.000	612.000	949.000	629.000	953.000	607.000	957.000	584.000	1040.000	599.000	1045.000	672.000			
C:/Users/vmc04/Desktop/Lab reared wings for landmarking/18/ARS/ARSMB	ARS 048.gif	6 : ARS 048 18	MB-18	NA	NA	780.000	496.000	981.000	425.000	1247.000	411.000	1264.000	427.000	1279.000	448.000	1283.000	469.000	1259.000	503.000	1208.000	542.000	1136.000	584.000	1034.000	626.000	808.000	575.000	917.000	550.000	909.000	528.000	970.000	522.000	963.000	499.000	958.000	479.000	1038.000	455.000	1087.000	523.000			
C:/Users/vmc04/Desktop/Lab reared wings for landmarking/18/ARS/ARSMB	ARS 082.gif	7 : ARS 082 18	MB-18	NA	NA	757.000	457.000	956.000	493.000	1187.000	598.000	1194.000	621.000	1194.000	641.000	1186.000	659.000	1153.000	672.000	1092.000	679.000	1010.000	679.000	902.000	666.000	739.000	531.000	842.000	558.000	851.000	538.000	897.000	560.000	903.000	539.000	913.000	522.000	987.000	538.000	991.000	607.000			
C:/Users/vmc04/Desktop/Lab reared wings for landmarking/18/ARS/ARSMB	ARS 128.gif	8 : ARS 128 18	MB-18	NA	NA	797.000	463.000	992.000	404.000	1252.000	401.000	1279.000	419.000	1292.000	440.000	1291.000	462.000	1265.000	493.000	1212.000	528.000	1148.000	558.000	1035.000	597.000	813.000	542.000	926.000	520.000	922.000	500.000	977.000	498.000	972.000	475.000	968.000	453.000	1058.000	433.000	1103.000	503.000			
C:/Users/vmc04/Desktop/Lab reared wings for landmarking/18/ARS/ARSMB	ARS 136-1.gif	9 : ARS 136 18	MB-18	NA	NA	462.000	520.000	618.000	382.000	854.000	266.000	876.000	272.000	893.000	284.000	905.000	302.000	894.000	342.000	863.000	399.000	812.000	462.000	727.000	550.000	508.000	587.000	598.000	520.000	585.000	502.000	637.000	478.000	618.000	456.000	606.000	440.000	680.000	382.000	752.000	421.000			
C:/Users/vmc04/Desktop/Lab reared wings for landmarking/18/ARS/ARSMB	ARS 178.gif	10 : ARS 178 18	MB-18	NA	NA	741.000	508.000	926.000	443.000	1198.000	426.000	1220.000	446.000	1232.000	470.000	1226.000	499.000	1205.000	522.000	1156.000	558.000	1082.000	602.000	976.000	648.000	763.000	599.000	869.000	568.000	865.000	547.000	918.000	541.000	914.000	517.000	909.000	493.000	983.000	463.000	1023.000	542.000			
